codice,nome,CFU,settore,n_settore,TAF_Ambito,ore_lezione,ore_laboratorio,ore_tirocinio,tipo_insegnamento,semestre,descrizione_semestre,anno1,anno2
501813,MEDICINA URGENZA,2,MED,09,"Caratterizzante / Emergenze
medico-chirurgiche",16,,,Obbligatorio,0,,6,
501814,CHIRURGIA URGENZA,1,MED,18,"Caratterizzante / Emergenze
medico-chirurgiche",8,,,Obbligatorio,0,,6,
501815,TERAPIA INTENSIVA,2,MED,41,"Caratterizzante / Emergenze
medico-chirurgiche",16,,,Obbligatorio,0,,6,
501817,INGLESE 2,4,L-LIN,12,Altro / Ulteriori conoscenze linguistiche,32,,,Obbligatorio,3,Primo e Secondo Semestre,1,2
501827,EPIDEMIOLOGIA,1,MED,42,"Caratterizzante / Scienze umane, politiche
della salute e management sanitario",8,,,Obbligatorio,0,,2,
501832,CLINICA MEDICA 1,5,,,,40,,,Obbligatorio,2,Secondo Semestre,5,
501833,CLINICA MEDICA 2,8,,,,64,,,Obbligatorio,1,Primo Semestre,6,
501834,GERIATRIA,2,MED,09,"Caratterizzante / Clinica generale medica e
chirurgica",16,,,Obbligatorio,0,,5,
501971,TIROCINIO MEDICINA INTERNA,1,MED,09,"Altro / Tirocini formativi e di
orientamento",,,20,Obbligatorio,3,Primo e Secondo Semestre,5,
501999,TIROCINIO NEUROLOGIA,2,MED,26,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,3,Primo e Secondo Semestre,5,
502622,PATOLOGIA GENERALE,8,,,,48,24,,Obbligatorio,1,Primo Semestre,3,
502623,FISIOPATOLOGIA GENERALE,1,MED,04,"Caratterizzante / Formazione clinica
interdisciplinare e medicina basata sulle evidenze",8,,,Obbligatorio,0,,3,
502625,FARMACODINAMICA,1,BIO,14,"Caratterizzante / Fisiopatologia,
metodologia clinica, propedeutica clinica e sistematica medico-chirurgica",8,,,Obbligatorio,0,,3,
502626,MONITORAGGIO FARMACOLOGICO,1,BIO,14,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",8,,,Obbligatorio,0,,3,
502638,MEDICINA DEL LAVORO,3,MED,44,"Caratterizzante / Medicina e sanità
pubblica e degli ambienti di lavoro e scienze medico legali",24,,,Obbligatorio,0,,6,
502642,PEDIATRIA GENERALE,5,MED,38,Caratterizzante / Discipline pediatriche,40,,,Obbligatorio,0,,5,
502645,MEDICINA INTERNA A,1,MED,09,"Caratterizzante / Clinica generale medica e
chirurgica",8,,,Obbligatorio,0,,5,
502646,MEDICINA INTERNA B,6,MED,09,"Caratterizzante / Clinica generale medica e
chirurgica",48,,,Obbligatorio,0,,6,
502650,VIROLOGIA,2,MED,07,"Caratterizzante / Patologia generale e
molecolare, immunopatologia, fisiopatologia generale, microbiologia e
parassitologia",16,,,Obbligatorio,0,,3,
502653,CLINICA CHIRURGICA,6,MED,18,"Caratterizzante / Clinica generale medica e
chirurgica",48,,,Obbligatorio,0,,6,
502756,PSICHIATRIA GENERALE,3,MED,25,"Caratterizzante / Clinica psichiatrica e
discipline del comportamento",24,,,Obbligatorio,0,,5,
503343,FISIOLOGIA CELLULARE,3,BIO,09,"Base / Funzioni biologiche integrate di
organi, sistemi e apparati umani",24,,,Obbligatorio,1,Primo Semestre,2,
503360,ADE VI ANNO,4,NN,,"A scelta dello studente / A scelta dello
studente",32,,,,2,Secondo Semestre,6,
503488,MEDICINA PREVENTIVA,4,,,,32,,,Obbligatorio,1,Primo Semestre,2,
503966,FARMACOLOGIA CLINICA,1,BIO,14,"Caratterizzante / Fisiopatologia,
metodologia clinica, propedeutica clinica e sistematica medico-chirurgica",8,,,Obbligatorio,0,,5,
504447,MEDICINA DEL TERRITORIO,2,MED,09,"Caratterizzante / Formazione clinica
interdisciplinare e medicina basata sulle evidenze",16,,,Obbligatorio,0,,5,
504451,MEDICINA PUBBLICA,11,,,,88,,,Obbligatorio,2,Secondo Semestre,6,
504459,PATOLOGIA,7,MED,04,"Caratterizzante / Patologia generale e
molecolare, immunopatologia, fisiopatologia generale, microbiologia e
parassitologia",40,24,,Obbligatorio,0,,3,
504861,CHEMIOTERAPIA,1,BIO,14,"Caratterizzante / Farmacologia,
tossicologia e principi di terapia medica",8,,,Obbligatorio,0,,5,
504863,ORGANIZZAZIONE SANITARIA,1,MED,42,"Caratterizzante / Scienze umane, politiche
della salute e management sanitario",8,,,Obbligatorio,0,,6,
504874,MICROBIOLOGIA GENERALE,4,MED,07,"Caratterizzante / Patologia generale e
molecolare, immunopatologia, fisiopatologia generale, microbiologia e
parassitologia",32,,,Obbligatorio,0,,3,
506412,CHIRURGIA ED EMERGENZE,9,,,,72,,,Obbligatorio,1,Primo Semestre,6,
506413,"DIAGNOSTICA PER IMMAGINI E
ONCOLOGIA",6,,,,48,,,Obbligatorio,2,Secondo Semestre,4,
506414,CHIRURGIA GASTROENTEROLOGICA,2,MED,18,"Caratterizzante / Clinica generale medica e
chirurgica",16,,,Obbligatorio,0,,4,
506416,FISICA MEDICA,5,FIS,07,"Base / Discipline generali per la
formazione del medico",40,,,Obbligatorio,1,Primo Semestre,1,
506417,GINECOLOGIA E OSTETRICIA – MODULO,5,MED,40,"Caratterizzante / Discipline
ostetrico-ginecologiche, medicina della riproduzione e sessuologia medica",40,,,Obbligatorio,0,,6,
506422,INGLESE 1,4,L-LIN,12,Altro / Ulteriori conoscenze linguistiche,32,,,,3,Primo e Secondo Semestre,1,2
507237,TIROCINIO SEMEIOTICA MEDICA,6,MED,09,"Altro / Tirocini formativi e di
orientamento",,,120,Obbligatorio,2,Secondo Semestre,3,
507238,TIROCINIO SEMEIOTICA CHIRURGICA,6,MED,18,"Altro / Tirocini formativi e di
orientamento",,,120,Obbligatorio,2,Secondo Semestre,3,
507239,TIROCINIO IV ANNO,16,,,,,,320,Obbligatorio,3,Primo e Secondo Semestre,4,
507240,TIROCINIO RADIOLOGIA,2,MED,36,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,2,Secondo Semestre,4,
507241,TIROCINIO CARDIOLOGIA,2,MED,11,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,2,Secondo Semestre,4,
507242,TIROCINIO GASTROENTEROLOGIA,2,MED,12,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,2,Secondo Semestre,4,
507243,TIROCINIO NEFROLOGIA,2,MED,14,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,2,Secondo Semestre,4,
507244,TIROCINIO REUMATOLOGIA,2,MED,16,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,2,Secondo Semestre,4,
507245,TIROCINIO ORTOPEDIA,1,MED,33,"Altro / Tirocini formativi e di
orientamento",,,20,Obbligatorio,1,Primo Semestre,4,
507246,TIROCINIO DERMATOLOGIA,1,MED,35,"Altro / Tirocini formativi e di
orientamento",,,20,Obbligatorio,1,Primo Semestre,4,
507247,TIROCINIO CHIRURGIA PLASTICA,1,MED,19,"Altro / Tirocini formativi e di
orientamento",,,20,Obbligatorio,1,Primo Semestre,4,
507248,TIROCINIO PNEUMOLOGIA,2,MED,10,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,2,Secondo Semestre,4,
507249,TIROCINIO FISIATRIA,1,MED,34,"Altro / Tirocini formativi e di
orientamento",,,20,Obbligatorio,1,Primo Semestre,4,
507250,TIROCINI V ANNO,16,,,,,,320,Obbligatorio,3,Primo e Secondo Semestre,5,
507251,TIROCINIO OTORINOLARINGOIATRIA,2,MED,31,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,3,Primo e Secondo Semestre,5,
507252,TIROCINIO OCULISTICA,2,MED,30,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,3,Primo e Secondo Semestre,5,
507253,TIROCINIO MALATTIE INFETTIVE,2,MED,17,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,3,Primo e Secondo Semestre,5,
507254,"TIROCINIO NEUROPSICHIATRIA
INFANTILE",1,MED,39,"Altro / Tirocini formativi e di
orientamento",,,20,Obbligatorio,3,Primo e Secondo Semestre,5,
507255,TIROCINIO PSICHIATRIA,1,MED,25,"Altro / Tirocini formativi e di
orientamento",,,20,Obbligatorio,3,Primo e Secondo Semestre,5,
507256,TIROCINIO CHIRURGIA PEDIATRICA,2,MED,20,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,3,Primo e Secondo Semestre,5,
507257,TIROCINIO PEDIATRIA,3,MED,38,"Altro / Tirocini formativi e di
orientamento",,,60,Obbligatorio,3,Primo e Secondo Semestre,5,
507258,TIROCINI A SCELTA VI ANNO,8,NN,,"Altro / Tirocini formativi e di
orientamento",,,160,Obbligatorio,1,Primo Semestre,6,
507259,TIROCINI OBBLIGATORI VI ANNO,8,,,,,,160,Obbligatorio,2,Secondo Semestre,6,
507260,TIROCINIO CLINICA MEDICA 2,2,MED,09,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,0,,6,
507261,TIROCINIO CHIRURGIA,2,MED,18,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,0,,6,
507262,TIROCINIO ANESTESIOLOGIA,2,MED,41,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,0,,6,
507263,TIROCINIO GINECOLOGIA,2,MED,40,"Altro / Tirocini formativi e di
orientamento",,,40,Obbligatorio,0,,6,
507887,PNEUMOLOGIA,4,MED,10,"Caratterizzante / Formazione clinica
interdisciplinare e medicina basata sulle evidenze",32,,,Obbligatorio,0,,4,
507888,MALATTIE METABOLICHE,1,MED,09,"Caratterizzante / Clinica generale medica e
chirurgica",8,,,Obbligatorio,0,,3,
507889,ANATOMIA PATOLOGICA EMATOLOGICA,1,MED,08,"Caratterizzante / Clinica delle specialità
medico-chirurgiche",8,,,Obbligatorio,0,,3,
508606,"APPROFONDIMENTI DI FISIOLOGIA
UMANA",1,BIO,09,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,1,2
508607,"TECNICHE DIAGNOSTICHE E
TERAPEUTICHE: ECG, IMAGING TOMOGRAFICO, ADROTERAPIA",1,FIS,07,"A scelta dello studente / A scelta dello
studente",8,,,,1,Primo Semestre,1,2
508608,"INSUFFICIENZA RENALE ACUTA E
CRONICA: CASI CLINICI IN NEFROLOGIA",1,MED,14,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
508609,"ORGANIZZAZIONE E MANAGMENT
SANITARIO",1,MED,42,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
508610,IL TRAPIANTO CARDIACO,1,MED,23,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
508612,APPROFONDIMENTI IN ECG,1,MED,11,"A scelta dello studente / A scelta dello
studente",10,,,,2,Secondo Semestre,4,
508613,"MECCANISMI DI ANTIBIOTICO
RESISTENZA: DIAGNOSTICA E IMPATTO CLINICO",1,MED,07,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
508904,"ANATOMIA TOPOGRAFICA
PROPEDEUTICA ALLA CHIRURGIA",1,BIO,16,"A scelta dello studente / A scelta dello
studente",8,,,,1,Primo Semestre,4,
508905,"FORMARE CON L’ECOGRAFIA ALLE
SCIENZE DI BASE",2,MED,36,"A scelta dello studente / A scelta dello
studente",16,,,,2,Secondo Semestre,1,2
508906,"PRASSI DELLA COMUNICAZIONE
MEDICA",1,MED,09,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,1,2
508909,"ANATOMIA MACROSCOPICA
DIGITALIZZATA",1,BIO,16,"A scelta dello studente / A scelta dello
studente",8,,,,3,Primo e Secondo Semestre,1,2
508910,LABORATORIO IN MICROBIOLOGIA,1,MED,07,"Caratterizzante / Patologia generale e
molecolare, immunopatologia, fisiopatologia generale, microbiologia e
parassitologia",12,,,Obbligatorio,0,,3,
508916,ATTUALITA’ IN CHIRUGIA GENERALE,1,MED,18,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
508917,"APPROFONDIMENTO IN CHIRURGIA:
CHIRURGIA ROBOTICA E SPECIALISTICA",1,MED,40,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
508985,GLOBAL HEALTH,1,CHIM,09,"A scelta dello studente / A scelta dello
studente",8,,,,1,Primo Semestre,4,
509031,BIOCHIMICA CELLULARE A,2,BIO,10,"Affine/Integrativa / Attività formative
affini o integrative",16,,,Obbligatorio,2,Secondo Semestre,1,
509346,IL PAZIENTE CON DISABILITA’,1,MED,02,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,1,2
509347,AGGIORNAMENTI IN CARDIOLOGIA,1,MED,11,"A scelta dello studente / A scelta dello
studente",8,,,,1,Primo Semestre,4,
509348,AGGIORNAMENTI IN NEFROLOGIA,1,MED,14,"A scelta dello studente / A scelta dello
studente",8,,,,1,Primo Semestre,4,
510235,"LA RICERCA BIBLIOGRAFICA IN
AMBIENTE MEDICO",2,MED,01,"A scelta dello studente / A scelta dello
studente",16,,,,2,Secondo Semestre,1,2
510236,"LA SEMEIOTICA CARDIOVASCOLARE –
TONI E SOFFI CARDIACI",1,MED,11,"A scelta dello studente / A scelta dello
studente",8,,,,1,Primo Semestre,4,
510237,"LABORATORIO DI ATTIVITA’
PRATICHE DI BASE – CLINICAL SKILLS PER L’APPROCCIO INTEGRATO AL PAZIENTE",1,MED,09,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
510238,"ABILITA’ NEL COMUNICARE LE
CATTIVE NOTIZIE NEL MONDO SANITARIO",1,MED,09,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
510239,MEDICINA MOLECOLARE,1,MED,15,"A scelta dello studente / A scelta dello
studente",8,,,,2,Secondo Semestre,4,
510455,MEDICINA PREVENTIVA,5,,,,,40,,Obbligatorio,1,Primo Semestre,3,
510456,IGIENE E MEDICINA DI COMUNITA’,4,MED,42,"Caratterizzante / Fisiopatologia,
metodologia clinica, propedeutica clinica e sistematica medico-chirurgica",32,,,Obbligatorio,0,,3,
510457,ECONOMIA AZIENDALE,1,SECS-P,07,"Caratterizzante / Scienze umane, politiche
della salute e management sanitario",8,,,Obbligatorio,0,,3,